city,Latitude,Longitude,day,date,tem_day,feelslike_day,pressure,humidity,wind_speed,weather_main,weather_desc,prob_rain,clouds,uvi
Mont Saint Michel,48.6359541,-1.511459954959514,0,30/01/2022,9.34,9.34,1033,73,5.33,Clouds,broken clouds,0.04,61,1.25
Mont Saint Michel,48.6359541,-1.511459954959514,1,31/01/2022,7.93,4.1,1030,77,8.85,Rain,light rain,0.4,95,0.65
Mont Saint Michel,48.6359541,-1.511459954959514,2,01/02/2022,9.85,6.87,1028,94,8.08,Rain,light rain,0.2,100,1.46
Mont Saint Michel,48.6359541,-1.511459954959514,3,02/02/2022,10.78,10.11,1028,84,7.1,Clouds,scattered clouds,0.0,35,1.38
Mont Saint Michel,48.6359541,-1.511459954959514,4,03/02/2022,7.77,4.9,1018,87,4.76,Clouds,overcast clouds,0.0,100,1.09
Mont Saint Michel,48.6359541,-1.511459954959514,5,04/02/2022,8.17,4.57,1024,62,7.05,Rain,light rain,0.75,69,2.0
Mont Saint Michel,48.6359541,-1.511459954959514,6,05/02/2022,10.09,9.11,1030,75,5.54,Rain,light rain,0.36,71,2.0
Mont Saint Michel,48.6359541,-1.511459954959514,7,06/02/2022,11.23,10.42,1031,77,6.58,Clouds,overcast clouds,0.0,97,2.0
St Malo,48.649518,-2.0260409,0,30/01/2022,8.54,7.74,1034,76,6.09,Clouds,broken clouds,0.16,57,1.24
St Malo,48.649518,-2.0260409,1,31/01/2022,8.18,4.12,1031,75,10.3,Clouds,overcast clouds,0.24,99,0.59
St Malo,48.649518,-2.0260409,2,01/02/2022,10.03,9.49,1029,92,9.96,Clouds,overcast clouds,0.05,98,1.47
St Malo,48.649518,-2.0260409,3,02/02/2022,10.18,9.45,1028,84,7.5,Clear,clear sky,0.0,8,1.37
St Malo,48.649518,-2.0260409,4,03/02/2022,8.59,5.5,1018,85,5.87,Rain,light rain,0.2,100,1.14
St Malo,48.649518,-2.0260409,5,04/02/2022,8.42,4.97,1024,63,8.13,Rain,light rain,0.88,58,2.0
St Malo,48.649518,-2.0260409,6,05/02/2022,9.91,6.99,1030,75,6.45,Rain,light rain,0.24,63,2.0
St Malo,48.649518,-2.0260409,7,06/02/2022,11.13,10.34,1031,78,7.72,Clouds,overcast clouds,0.0,95,2.0
Bayeux,49.2764624,-0.7024738,0,30/01/2022,8.78,8.78,1033,69,5.75,Clouds,scattered clouds,0.0,44,1.18
Bayeux,49.2764624,-0.7024738,1,31/01/2022,7.66,3.54,1028,68,9.28,Rain,light rain,0.33,100,0.71
Bayeux,49.2764624,-0.7024738,2,01/02/2022,10.73,10.16,1026,88,8.33,Rain,light rain,0.39,100,0.97
Bayeux,49.2764624,-0.7024738,3,02/02/2022,11.87,11.2,1027,80,7.27,Clouds,few clouds,0.0,24,1.33
Bayeux,49.2764624,-0.7024738,4,03/02/2022,7.95,4.85,1018,83,6.32,Clouds,overcast clouds,0.0,100,0.66
Bayeux,49.2764624,-0.7024738,5,04/02/2022,7.67,3.94,1023,60,8.21,Rain,light rain,0.99,55,1.0
Bayeux,49.2764624,-0.7024738,6,05/02/2022,10.33,9.4,1028,76,7.13,Rain,light rain,0.35,48,1.0
Bayeux,49.2764624,-0.7024738,7,06/02/2022,10.5,9.75,1029,82,9.85,Clouds,overcast clouds,0.0,100,1.0
Le Havre,49.4938975,0.1079732,0,30/01/2022,7.81,7.81,1033,69,6.92,Clouds,few clouds,0.0,17,1.16
Le Havre,49.4938975,0.1079732,1,31/01/2022,7.9,3.41,1027,66,12.13,Rain,light rain,0.46,100,1.04
Le Havre,49.4938975,0.1079732,2,01/02/2022,9.58,6.17,1025,93,10.33,Rain,light rain,0.68,100,0.86
Le Havre,49.4938975,0.1079732,3,02/02/2022,9.6,7.09,1027,91,9.18,Clouds,broken clouds,0.0,67,1.34
Le Havre,49.4938975,0.1079732,4,03/02/2022,7.54,4.06,1018,84,7.42,Rain,light rain,0.2,100,0.73
Le Havre,49.4938975,0.1079732,5,04/02/2022,7.69,3.63,1022,59,8.74,Rain,light rain,0.98,61,1.0
Le Havre,49.4938975,0.1079732,6,05/02/2022,9.27,6.04,1028,84,7.97,Rain,light rain,0.34,52,1.0
Le Havre,49.4938975,0.1079732,7,06/02/2022,9.79,5.89,1029,84,10.26,Clouds,overcast clouds,0.0,97,1.0
Rouen,49.4404591,1.0939658,0,30/01/2022,8.19,8.19,1033,69,4.52,Clear,clear sky,0.0,9,1.14
Rouen,49.4404591,1.0939658,1,31/01/2022,7.56,3.42,1026,65,9.62,Rain,light rain,0.69,91,1.15
Rouen,49.4404591,1.0939658,2,01/02/2022,9.39,6.42,1024,94,9.02,Rain,light rain,0.74,100,0.42
Rouen,49.4404591,1.0939658,3,02/02/2022,10.77,10.07,1026,83,7.27,Clouds,overcast clouds,0.0,87,1.26
Rouen,49.4404591,1.0939658,4,03/02/2022,8.36,5.38,1018,81,5.41,Clouds,overcast clouds,0.0,100,1.03
Rouen,49.4404591,1.0939658,5,04/02/2022,7.52,3.66,1021,61,7.29,Rain,light rain,0.76,62,2.0
Rouen,49.4404591,1.0939658,6,05/02/2022,9.95,7.04,1028,75,6.45,Rain,light rain,0.26,30,2.0
Rouen,49.4404591,1.0939658,7,06/02/2022,10.9,10.08,1028,78,8.85,Clouds,overcast clouds,0.0,90,2.0
Paris,48.8588897,2.3200410217200766,0,30/01/2022,8.29,8.29,1033,64,3.76,Clear,clear sky,0.06,7,1.15
Paris,48.8588897,2.3200410217200766,1,31/01/2022,8.2,4.63,1024,54,7.17,Clouds,overcast clouds,0.36,87,1.11
Paris,48.8588897,2.3200410217200766,2,01/02/2022,7.02,4.05,1024,93,5.19,Rain,light rain,0.71,100,0.21
Paris,48.8588897,2.3200410217200766,3,02/02/2022,10.82,9.99,1026,78,5.47,Clouds,overcast clouds,0.05,99,0.99
Paris,48.8588897,2.3200410217200766,4,03/02/2022,10.33,9.25,1018,70,3.83,Clouds,overcast clouds,0.0,100,1.21
Paris,48.8588897,2.3200410217200766,5,04/02/2022,8.56,5.64,1020,58,5.38,Rain,light rain,1.0,96,2.0
Paris,48.8588897,2.3200410217200766,6,05/02/2022,9.39,7.23,1029,66,4.31,Clouds,few clouds,0.0,18,2.0
Paris,48.8588897,2.3200410217200766,7,06/02/2022,10.97,9.74,1029,62,6.06,Clouds,overcast clouds,0.0,91,2.0
Amiens,49.8941708,2.2956951,0,30/01/2022,7.45,7.45,1033,71,4.61,Clouds,few clouds,0.0,13,1.03
Amiens,49.8941708,2.2956951,1,31/01/2022,6.66,1.84,1023,65,10.32,Rain,light rain,0.66,71,1.01
Amiens,49.8941708,2.2956951,2,01/02/2022,8.96,5.73,1021,92,9.36,Clouds,overcast clouds,0.3,100,0.59
Amiens,49.8941708,2.2956951,3,02/02/2022,11.31,10.61,1024,81,8.34,Clouds,overcast clouds,0.0,92,1.01
Amiens,49.8941708,2.2956951,4,03/02/2022,9.15,6.26,1017,80,5.71,Clouds,overcast clouds,0.0,100,0.98
Amiens,49.8941708,2.2956951,5,04/02/2022,7.02,2.93,1019,60,8.09,Rain,light rain,0.9,67,1.0
Amiens,49.8941708,2.2956951,6,05/02/2022,9.66,6.65,1027,71,7.6,Rain,light rain,0.2,22,1.0
Amiens,49.8941708,2.2956951,7,06/02/2022,10.6,9.75,1026,78,9.71,Clouds,overcast clouds,0.0,100,1.0
Lille,50.6365654,3.0635282,0,30/01/2022,7.53,7.53,1033,67,5.17,Clouds,few clouds,0.0,12,0.93
Lille,50.6365654,3.0635282,1,31/01/2022,6.19,1.3,1021,57,10.35,Rain,light rain,0.79,63,0.56
Lille,50.6365654,3.0635282,2,01/02/2022,8.74,5.56,1019,89,8.07,Rain,light rain,0.2,100,0.89
Lille,50.6365654,3.0635282,3,02/02/2022,11.03,10.3,1023,81,7.74,Clouds,overcast clouds,0.31,100,0.23
Lille,50.6365654,3.0635282,4,03/02/2022,8.86,6.05,1017,78,5.62,Clouds,overcast clouds,0.0,100,0.67
Lille,50.6365654,3.0635282,5,04/02/2022,6.79,2.84,1018,58,6.91,Rain,light rain,1.0,52,1.0
Lille,50.6365654,3.0635282,6,05/02/2022,9.84,6.81,1025,68,7.65,Clouds,few clouds,0.0,16,1.0
Lille,50.6365654,3.0635282,7,06/02/2022,10.3,9.47,1023,80,11.38,Clouds,overcast clouds,0.0,100,1.0
Strasbourg,48.584614,7.7507127,0,30/01/2022,7.61,5.39,1032,63,4.99,Rain,light rain,0.45,74,1.05
Strasbourg,48.584614,7.7507127,1,31/01/2022,4.94,0.24,1018,73,8.91,Rain,light rain,1.0,92,0.47
Strasbourg,48.584614,7.7507127,2,01/02/2022,4.23,0.15,1025,65,6.49,Rain,light rain,1.0,99,0.86
Strasbourg,48.584614,7.7507127,3,02/02/2022,6.69,5.23,1022,96,5.27,Rain,light rain,1.0,100,0.7
Strasbourg,48.584614,7.7507127,4,03/02/2022,9.79,9.36,1019,78,2.83,Rain,light rain,0.4,100,0.48
Strasbourg,48.584614,7.7507127,5,04/02/2022,10.13,9.05,1016,71,6.67,Rain,light rain,1.0,99,1.0
